,Month,Region,Student Enrolments
0,2008-03-01,Wellington,109010
1,2008-06-01,Wellington,110084
2,2008-09-01,Wellington,111158
3,2008-12-01,Wellington,112231
4,2009-03-01,Wellington,113305
5,2009-06-01,Wellington,112615
6,2009-09-01,Wellington,111925
7,2009-12-01,Wellington,111235
8,2010-03-01,Wellington,110545
9,2010-06-01,Wellington,109149
10,2010-09-01,Wellington,107753
11,2010-12-01,Wellington,106356
12,2011-03-01,Wellington,104960
13,2011-06-01,Wellington,104526
14,2011-09-01,Wellington,104093
15,2011-12-01,Wellington,103659
16,2012-03-01,Wellington,103225
17,2012-06-01,Wellington,102793
18,2012-09-01,Wellington,102360
19,2012-12-01,Wellington,101928
20,2013-03-01,Wellington,101495
21,2013-06-01,Wellington,101030
22,2013-09-01,Wellington,100564
23,2013-12-01,Wellington,100099
24,2014-03-01,Wellington,99634
25,2014-06-01,Wellington,99741
26,2014-09-01,Wellington,99848
27,2014-12-01,Wellington,99955
28,2015-03-01,Wellington,100061
29,2015-06-01,Wellington,100168
30,2015-09-01,Wellington,100275
31,2015-12-01,Wellington,100382
32,2016-03-01,Wellington,100489
33,2016-06-01,Wellington,105297
34,2016-09-01,Wellington,104160
35,2016-12-01,Wellington,104529
36,2017-03-01,Wellington,110405
37,2017-06-01,Wellington,106909
38,2017-09-01,Wellington,105782
39,2017-12-01,Wellington,103318
40,2018-03-01,Wellington,106493
41,2018-06-01,Wellington,104499
42,2018-09-01,Wellington,107137
43,2018-12-01,Wellington,107775
0,2008-03-01,Auckland,90620
1,2008-06-01,Auckland,91883
2,2008-09-01,Auckland,93145
3,2008-12-01,Auckland,94408
4,2009-03-01,Auckland,95670
5,2009-06-01,Auckland,96368
6,2009-09-01,Auckland,97065
7,2009-12-01,Auckland,97763
8,2010-03-01,Auckland,98460
9,2010-06-01,Auckland,97706
10,2010-09-01,Auckland,96953
11,2010-12-01,Auckland,96199
12,2011-03-01,Auckland,95445
13,2011-06-01,Auckland,95415
14,2011-09-01,Auckland,95385
15,2011-12-01,Auckland,95355
16,2012-03-01,Auckland,95325
17,2012-06-01,Auckland,95103
18,2012-09-01,Auckland,94880
19,2012-12-01,Auckland,94658
20,2013-03-01,Auckland,94435
21,2013-06-01,Auckland,94334
22,2013-09-01,Auckland,94233
23,2013-12-01,Auckland,94131
24,2014-03-01,Auckland,94030
25,2014-06-01,Auckland,94498
26,2014-09-01,Auckland,94965
27,2014-12-01,Auckland,95433
28,2015-03-01,Auckland,95900
29,2015-06-01,Auckland,95610
30,2015-09-01,Auckland,95320
31,2015-12-01,Auckland,95030
32,2016-03-01,Auckland,94740
33,2016-06-01,Auckland,95376
34,2016-09-01,Auckland,94686
35,2016-12-01,Auckland,94578
36,2017-03-01,Auckland,94715
37,2017-06-01,Auckland,95320
38,2017-09-01,Auckland,95352
39,2017-12-01,Auckland,94565
40,2018-03-01,Auckland,95263
41,2018-06-01,Auckland,95446
42,2018-09-01,Auckland,95095
43,2018-12-01,Auckland,94841
0,2008-03-01,Canterbury,50710
1,2008-06-01,Canterbury,50863
2,2008-09-01,Canterbury,51015
3,2008-12-01,Canterbury,51168
4,2009-03-01,Canterbury,51320
5,2009-06-01,Canterbury,50815
6,2009-09-01,Canterbury,50310
7,2009-12-01,Canterbury,49805
8,2010-03-01,Canterbury,49300
9,2010-06-01,Canterbury,46383
10,2010-09-01,Canterbury,43465
11,2010-12-01,Canterbury,40548
12,2011-03-01,Canterbury,37630
13,2011-06-01,Canterbury,37944
14,2011-09-01,Canterbury,38258
15,2011-12-01,Canterbury,38571
16,2012-03-01,Canterbury,38885
17,2012-06-01,Canterbury,38055
18,2012-09-01,Canterbury,37225
19,2012-12-01,Canterbury,36395
20,2013-03-01,Canterbury,35565
21,2013-06-01,Canterbury,35183
22,2013-09-01,Canterbury,34800
23,2013-12-01,Canterbury,34418
24,2014-03-01,Canterbury,33833
25,2014-06-01,Canterbury,33787
26,2014-09-01,Canterbury,33740
27,2014-12-01,Canterbury,33694
28,2015-03-01,Canterbury,33648
29,2015-06-01,Canterbury,33602
30,2015-09-01,Canterbury,33555
31,2015-12-01,Canterbury,33509
32,2016-03-01,Canterbury,33463
