Month,Wellington,Auckland,Canterbury,Otago,Waikato,Bay of Plenty,Southland,Hawke's Bay,West Coast,Northland,Nelson,Manawatu-Wanganui,Taranaki
1/03/2008,109010,90620,50710,27575,26115,19610,10170,8340,10030,8505,7030,7645,4120
1/06/2008,110084,91883,50863,27660,26184,19559,10250,8395,9521,8434,7165,7525,4253
1/09/2008,111158,93145,51015,27745,26253,19508,10330,8450,9013,8363,7300,7405,4385
1/12/2008,112231,94408,51168,27830,26321,19456,10410,8505,8504,8291,7435,7285,4518
1/03/2009,113305,95670,51320,27915,26390,19405,10490,8560,7995,8220,7570,7165,4650
1/06/2009,112615,96368,50815,27959,25533,19099,10359,8603,7873,7891,7506,6886,4606
1/09/2009,111925,97065,50310,28003,24675,18793,10228,8645,7750,7563,7443,6608,4563
1/12/2009,111235,97763,49805,28046,23818,18486,10096,8688,7628,7234,7379,6329,4519
1/03/2010,110545,98460,49300,28090,22960,18180,9965,8730,7505,6905,7315,6050,4475
1/06/2010,109149,97706,46383,28134,22103,17874,9834,8773,7383,6576,7251,5771,4431
1/09/2010,107753,96953,43465,27728,21957,17148,9348,8505,7175,6384,6876,5661,3991
1/12/2010,106356,96199,40548,27321,21811,16421,8861,8238,6968,6192,6500,5550,3550
1/03/2011,104960,95445,37630,26915,21665,15695,8375,7970,6760,6000,6125,5440,3110
1/06/2011,104526,95415,37944,26796,21711,15731,8455,7923,6850,5923,6020,5345,3191
1/09/2011,104093,95385,38258,26678,21758,15768,8535,7875,6940,5845,5915,5250,3273
1/12/2011,103659,95355,38571,26559,21804,15804,8615,7828,7030,5768,5810,5155,3354
1/03/2012,103225,95325,38885,26440,21850,15840,8695,7780,7120,5690,5705,5060,3435
1/06/2012,102793,95103,38055,26420,21878,15734,8620,7639,6954,5638,5574,5050,3373
1/09/2012,102360,94880,37225,26400,21905,15628,8545,7498,6788,5585,5443,5040,3310
1/12/2012,101928,94658,36395,26380,21933,15521,8470,7356,6621,5533,5311,5030,3248
1/03/2013,101495,94435,35565,26360,21960,15415,8395,7215,6455,5480,5180,5020,3185
1/06/2013,101030,94334,35183,26415,22070,15453,8501,7449,6403,5636,5133,5053,3158
1/09/2013,100564,94233,34800,26470,22180,15490,8608,7683,6350,5793,5085,5085,3130
1/12/2013,100099,94131,34418,26525,22290,15528,8714,7916,6298,5949,5038,5118,3103
1/03/2014,99634,94030,33833,26580,22436,15565,8820,8150,6396,6177,5020,5102,3135
1/06/2014,99741,94498,33787,26585,22462,15541,9024,7950,6262,6254,5097,5073,3145
1/09/2014,99848,94965,33740,26590,22488,15518,9228,7750,6129,6331,5174,5043,3155
1/12/2014,99955,95433,33694,26595,22514,15494,9431,7550,5995,6408,5251,5014,3165
1/03/2015,100061,95900,33648,26600,22541,15470,9635,7350,5861,6485,5328,4985,3175
1/06/2015,100168,95610,33602,26780,22567,13101,9761,7500,5727,6562,5404,4955,3185
1/09/2015,100275,95320,33555,26960,22593,10733,9888,7650,5594,6638,5481,4926,3195
1/12/2015,100382,95030,33509,27140,22619,8364,10014,7800,5460,6715,5558,4897,3205
1/03/2016,100489,94740,33463,27320,22646,5995,10140,7950,5326,6792,5635,4867,3215
1/06/2016,105297,95376,40118,23699,23920,16044,9239,8009,5192,6869,5712,4838,3225
1/09/2016,104160,94686,36864,23812,22566,19258,9041,7753,5059,6946,5789,4808,3235
1/12/2016,104529,94578,37716,22655,23195,14840,9321,8056,4925,7023,5866,4779,3245
1/03/2017,110405,94715,36021,23701,22378,12884,9703,8366,4791,7100,5943,4750,3255
1/06/2017,106909,95320,36732,22642,24210,16891,9480,8402,4657,7177,6019,4720,3265
1/09/2017,105782,95352,35114,23490,21983,15071,9361,7783,4524,7253,6096,4691,3275
1/12/2017,103318,94565,44150,23404,24196,14151,9709,8196,4390,7330,6173,4662,3285
1/03/2018,106493,95263,38847,24458,24884,15738,10036,8366,4256,7407,6250,4632,3295
1/06/2018,104499,95446,42358,22686,22606,17713,9445,8097,4122,7484,6327,4603,3305
1/09/2018,107137,95095,41084,22956,22681,14426,10076,8043,3989,7561,6404,4573,3315
1/12/2018,107775,94841,42874,23162,23013,14074,9582,7875,3855,7638,6481,4544,3325
