publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2018p592544,earthquake,2018-08-08T05:47:55.025Z,2018-08-09T03:24:34.247Z,176.5981293,-40.51969147,4.244060353,17.33680153,M,,LOCSAT,confirmed,manual,iasp91,44,29,18,0.111342497,194.4579468,0.590557212,0
2018p546311,earthquake,2018-07-22T03:14:44.634Z,2018-07-22T03:33:44.251Z,173.5365601,-41.2063942,5.210893459,72.5447464,M,,LOCSAT,confirmed,manual,iasp91,34,19,124,0.119000658,76.93807125,0.608181194,0
2018p485395,earthquake,2018-06-29T14:18:45.335Z,2018-07-01T23:04:53.090Z,174.3543396,-41.70719528,4.396095018,8.299300194,M,,LOCSAT,confirmed,manual,iasp91,32,24,15,0.113178611,141.58284,0.370451729,0
2018p465580,earthquake,2018-06-22T06:21:00.801Z,2018-06-22T06:35:59.745Z,176.5974731,-40.30649185,4.902052978,16.73214149,M,,LOCSAT,confirmed,manual,iasp91,26,17,118,0.01173353,137.8649292,0.451711807,0
2018p465460,earthquake,2018-06-22T05:17:07.326Z,2018-06-22T05:47:47.279Z,176.6240997,-40.318367,4.054698849,15.6395216,M,,LOCSAT,confirmed,manual,iasp91,25,15,92,0.018705215,186.0035782,0.386235426,0
2018p424369,earthquake,2018-06-07T00:24:09.114Z,2018-06-10T22:56:49.092Z,174.0973969,-41.85184097,4.054979654,9.518713951,M,,LOCSAT,confirmed,manual,iasp91,42,26,19,0.03919775,142.5317917,0.721651053,0
2018p399860,earthquake,2018-05-28T22:45:37.299Z,2018-05-28T22:59:38.032Z,175.9869843,-40.40522003,4.00053226,17.18725967,M,,LOCSAT,confirmed,manual,iasp91,35,21,17,0.149818197,45.82740021,0.718702544,0
2018p383105,earthquake,2018-05-22T17:59:16.519Z,2018-05-25T02:42:43.426Z,176.3206482,-40.36657715,4.454102712,17.57847404,M,,LOCSAT,confirmed,manual,iasp91,19,10,6,0.135798305,61.91763306,0.256291287,0
2018p375166,earthquake,2018-05-19T19:28:35.069Z,2018-05-19T19:43:39.449Z,176.6968842,-40.33978653,4.01360518,18.78993988,M,,LOCSAT,confirmed,manual,iasp91,50,30,24,0.087207444,189.9719181,0.775120018,0
2018p362245,earthquake,2018-05-15T00:44:11.539Z,2018-05-15T01:54:35.256Z,174.2147522,-41.7623024,4.0782966,9.006388664,M,,LOCSAT,confirmed,manual,iasp91,32,18,14,0.258093298,140.9368286,0.602762723,0
2018p356381,earthquake,2018-05-12T20:40:01.622Z,2018-05-12T20:52:04.719Z,174.1387482,-41.68145752,4.180682326,11.52509975,M,,LOCSAT,confirmed,manual,iasp91,31,21,17,0.087840617,70.88172913,0.528620895,0
