Region,Territorial Authority
Canterbury,Ashburton District
Auckland,Auckland
West Coast,Buller District
Wellington,Carterton District
Hawke's Bay,Central Hawkes Bay District
Otago,Central Otago District
Canterbury,Christchurch
Otago,Clutha District
Otago,Dunedin
Northland,Far North District
Auckland,Franklin District
Gisborne,Gisborne District
Southland,Gore District
West Coast,Grey District
Waikato,Hamilton
Hawke's Bay,Hastings District
Waikato,Hauraki District
Manawatu-Wanganui,Horowhenua District
Canterbury,Hurunui District
Southland,Invercargill
Canterbury,Kaikoura District
Northland,Kaipara District
Wellington,Kapiti Coast District
Bay of Plenty,Kawerau District
Wellington,Lower Hutt
Canterbury,Mackenzie District
Manawatu-Wanganui,Manawatu District
Auckland,Manukau
Marlborough,Marlborough District
Wellington,Masterton District
Waikato,Matamata-Piako District
Hawke's Bay,Napier
N/A,National Total
Nelson,Nelson
Taranaki,New Plymouth District
Auckland,North Shore
Bay of Plenty,Opotiki District
Waikato,Otorohanga District
Manawatu-Wanganui,Palmerston North
Auckland,Papakura District
Wellington,Porirua
Otago,Queenstown-Lakes District
Manawatu-Wanganui,Rangitikei District
Auckland,Rodney District
Bay of Plenty,Rotorua District
Manawatu-Wanganui,Ruapehu District
Canterbury,Selwyn District
Taranaki,South Taranaki District
Waikato,South Waikato District
Wellington,South Wairarapa District
Southland,Southland District
Taranaki,Stratford District
Manawatu-Wanganui,Tararua District
Tasman,Tasman District
Waikato,Taupo District
Bay of Plenty,Tauranga District
Waikato,Thames-Coromandel District
Canterbury,Timaru District
Wellington,Upper Hutt
Waikato,Waikato District
Canterbury,Waimakariri District
Canterbury,Waimate District
Waikato,Waipa District
Hawke's Bay,Wairoa District
Auckland,Waitakere
Canterbury,Waitaki District
Waikato,Waitomo District
Manawatu-Wanganui,Wanganui District
Wellington,Wellington
Bay of Plenty,Western Bay Of Plenty District
West Coast,Westland District
Bay of Plenty,Whakatane District
Northland,Whangarei District
