,Month,Region,Number of Building Consents
0,1/03/2008,Auckland Region,7999
1,1/06/2008,Auckland Region,8327
2,1/09/2008,Auckland Region,6046
3,1/12/2008,Auckland Region,5577
4,1/03/2009,Auckland Region,5476
5,1/06/2009,Auckland Region,6141
6,1/09/2009,Auckland Region,5990
7,1/12/2009,Auckland Region,6428
8,1/03/2010,Auckland Region,6259
9,1/06/2010,Auckland Region,6532
10,1/09/2010,Auckland Region,6460
11,1/12/2010,Auckland Region,5862
12,1/03/2011,Auckland Region,5747
13,1/06/2011,Auckland Region,5799
14,1/09/2011,Auckland Region,6585
15,1/12/2011,Auckland Region,6980
16,1/03/2012,Auckland Region,6739
17,1/06/2012,Auckland Region,6718
18,1/09/2012,Auckland Region,7541
19,1/12/2012,Auckland Region,7764
20,1/03/2013,Auckland Region,7336
21,1/06/2013,Auckland Region,8949
22,1/09/2013,Auckland Region,9063
23,1/12/2013,Auckland Region,10401
24,1/03/2014,Auckland Region,8319
25,1/06/2014,Auckland Region,10644
26,1/09/2014,Auckland Region,10917
27,1/12/2014,Auckland Region,11456
28,1/03/2015,Auckland Region,9624
29,1/06/2015,Auckland Region,11404
30,1/09/2015,Auckland Region,12421
31,1/12/2015,Auckland Region,13121
32,1/03/2016,Auckland Region,10639
33,1/06/2016,Auckland Region,12019
34,1/09/2016,Auckland Region,13959
35,1/12/2016,Auckland Region,12888
36,1/03/2017,Auckland Region,11033
37,1/06/2017,Auckland Region,11465
38,1/09/2017,Auckland Region,13791
39,1/12/2017,Auckland Region,15050
40,1/03/2018,Auckland Region,12320
41,1/06/2018,Auckland Region,13975
42,1/09/2018,Auckland Region,14234
43,1/12/2018,Auckland Region,14490
0,1/03/2008,Bay of Plenty Region,2419
1,1/06/2008,Bay of Plenty Region,1989
2,1/09/2008,Bay of Plenty Region,2460
3,1/12/2008,Bay of Plenty Region,2062
4,1/03/2009,Bay of Plenty Region,1413
5,1/06/2009,Bay of Plenty Region,2068
6,1/09/2009,Bay of Plenty Region,1905
7,1/12/2009,Bay of Plenty Region,2080
8,1/03/2010,Bay of Plenty Region,1925
9,1/06/2010,Bay of Plenty Region,2331
10,1/09/2010,Bay of Plenty Region,3399
11,1/12/2010,Bay of Plenty Region,2326
12,1/03/2011,Bay of Plenty Region,1822
13,1/06/2011,Bay of Plenty Region,2457
14,1/09/2011,Bay of Plenty Region,2345
15,1/12/2011,Bay of Plenty Region,1869
16,1/03/2012,Bay of Plenty Region,1650
17,1/06/2012,Bay of Plenty Region,1664
18,1/09/2012,Bay of Plenty Region,1896
19,1/12/2012,Bay of Plenty Region,2018
20,1/03/2013,Bay of Plenty Region,1575
21,1/06/2013,Bay of Plenty Region,1914
22,1/09/2013,Bay of Plenty Region,2093
23,1/12/2013,Bay of Plenty Region,1972
24,1/03/2014,Bay of Plenty Region,1936
25,1/06/2014,Bay of Plenty Region,2062
26,1/09/2014,Bay of Plenty Region,2117
27,1/12/2014,Bay of Plenty Region,2069
28,1/03/2015,Bay of Plenty Region,1876
29,1/06/2015,Bay of Plenty Region,2219
30,1/09/2015,Bay of Plenty Region,2552
31,1/12/2015,Bay of Plenty Region,2965
32,1/03/2016,Bay of Plenty Region,2612
