Month,Auckland Region,Bay of Plenty Region,Canterbury Region,Gisborne Region,Hawke's Bay Region,Manawatu-Wanganui Region,Marlborough Region,Nelson Region,Northland Region,Otago Region,Southland Region,Taranaki Region,Tasman Region,Waikato Region,Wellington Region,West Coast Region
1/03/2008,7999,2419,4421,371,1349,1820,583,537,1463,2264,907,863,353,3796,3273,566
1/06/2008,8327,1989,5138,377,1282,2044,616,537,1777,2350,1015,1279,623,4231,4908,895
1/09/2008,6046,2460,4692,402,1198,1754,512,458,1772,2258,999,937,446,3762,4832,583
1/12/2008,5577,2062,4266,351,939,1466,472,553,1299,2077,941,837,517,3388,3019,458
1/03/2009,5476,1413,3501,262,889,1091,462,323,1015,1650,691,820,391,2382,2980,323
1/06/2009,6141,2068,3882,305,1286,1418,445,445,1182,1927,813,1012,488,2861,2872,552
1/09/2009,5990,1905,4535,391,1205,1566,530,427,1137,2136,828,1072,520,3540,2752,503
1/12/2009,6428,2080,4484,348,1211,1429,510,440,1457,2270,765,1043,502,3432,3428,419
1/03/2010,6259,1925,4276,283,1092,1371,417,607,1212,1845,697,1047,408,2931,2691,448
1/06/2010,6532,2331,4576,269,1167,1533,448,707,1264,2188,903,1095,484,3328,3449,596
1/09/2010,6460,3399,4024,310,1100,1614,408,614,1318,1946,806,1081,554,3295,3028,494
1/12/2010,5862,2326,4018,312,948,1131,338,505,1030,2001,741,958,528,2949,3088,384
1/03/2011,5747,1822,2810,300,846,1129,285,382,842,1768,597,710,430,2129,2605,462
1/06/2011,5799,2457,3342,259,882,1322,417,351,909,2127,699,888,455,2785,2523,573
1/09/2011,6585,2345,3681,435,856,1253,322,491,1080,2119,698,790,528,3189,2820,438
1/12/2011,6980,1869,4245,268,946,1057,376,407,949,1889,640,723,412,2736,3297,321
1/03/2012,6739,1650,5222,200,870,1173,309,492,1065,2039,594,690,427,2461,2742,468
1/06/2012,6718,1664,5977,258,1050,1311,397,528,828,2560,665,819,467,2817,2950,407
1/09/2012,7541,1896,6848,165,1044,1133,359,399,1021,1896,830,714,532,2770,2959,421
1/12/2012,7764,2018,5498,211,1081,1208,332,357,1048,2171,654,769,495,2881,2827,231
1/03/2013,7336,1575,5838,205,791,994,308,380,899,1819,461,734,394,2554,2737,302
1/06/2013,8949,1914,7379,295,1212,1370,356,502,906,2669,741,896,609,3320,3767,395
1/09/2013,9063,2093,8273,300,1036,1103,326,396,1099,2393,537,859,461,3398,3646,315
1/12/2013,10401,1972,7898,220,1037,1144,327,376,1054,2203,615,808,480,3393,3801,318
1/03/2014,8319,1936,8843,240,1067,1062,353,302,1079,1935,485,720,355,3095,2993,293
1/06/2014,10644,2062,9728,353,1193,1393,416,360,908,2655,647,916,490,3972,3355,325
1/09/2014,10917,2117,8322,256,964,1199,453,354,1029,2489,639,750,496,3381,3564,278
1/12/2014,11456,2069,9560,183,854,1028,386,288,1223,2303,566,901,398,3214,3200,200
1/03/2015,9624,1876,7502,157,780,1111,431,245,912,1867,558,797,453,2976,3177,263
1/06/2015,11404,2219,7867,225,1075,1357,498,280,1024,2573,588,787,486,3878,2969,395
1/09/2015,12421,2552,8354,221,949,1294,461,386,1438,2397,827,759,520,4319,3199,254
1/12/2015,13121,2965,7443,243,849,1307,368,263,1385,2561,610,890,472,4225,3555,204
1/03/2016,10639,2612,6204,191,907,1134,297,291,1229,2263,408,752,463,3706,2665,206
1/06/2016,12019,3213,8336,322,1178,1811,427,311,1601,2962,686,857,500,4743,3828,407
1/09/2016,13959,3178,7111,262,1074,1701,467,452,1650,3079,633,906,526,4765,4147,278
1/12/2016,12888,3008,6051,190,1048,1477,402,572,1728,2670,678,917,508,4189,3898,223
1/03/2017,11033,2779,6168,243,1063,1510,434,411,1627,2921,475,799,452,3944,2997,318
1/06/2017,11465,2926,6988,272,1239,1860,493,506,1682,3045,624,952,617,4904,4331,396
1/09/2017,13791,3421,8557,262,1278,1931,575,454,1733,3653,611,967,606,5046,4790,339
1/12/2017,15050,2814,7739,255,1098,1404,625,405,1457,3087,655,796,459,4016,3672,224
1/03/2018,12320,2391,6127,222,1069,1828,463,443,1577,2491,555,739,561,3926,3986,252
1/06/2018,13975,2764,9796,212,1016,1401,417,361,1366,2840,530,788,506,4316,3696,220
1/09/2018,14234,2788,9988,208,1014,1402,416,357,1372,2866,522,783,507,4359,3714,212
1/12/2018,14490,2813,10177,205,1013,1403,416,354,1379,2893,514,779,509,4402,3732,203
