,Month,Region,Regional GDP
0,2000-03-01,Auckland," 39,826 "
1,2000-06-01,Auckland," 40,601 "
2,2000-09-01,Auckland," 41,377 "
3,2000-12-01,Auckland," 42,153 "
4,2001-03-01,Auckland," 42,928 "
5,2001-06-01,Auckland," 43,704 "
6,2001-09-01,Auckland," 44,479 "
7,2001-12-01,Auckland," 45,255 "
8,2002-03-01,Auckland," 46,030 "
9,2002-06-01,Auckland," 46,806 "
10,2002-09-01,Auckland," 47,581 "
11,2002-12-01,Auckland," 48,357 "
12,2003-03-01,Auckland," 49,133 "
13,2003-06-01,Auckland," 49,908 "
14,2003-09-01,Auckland," 50,684 "
15,2003-12-01,Auckland," 51,459 "
16,2004-03-01,Auckland," 52,235 "
17,2004-06-01,Auckland," 53,010 "
18,2004-09-01,Auckland," 53,786 "
19,2004-12-01,Auckland," 54,562 "
20,2005-03-01,Auckland," 55,337 "
21,2005-06-01,Auckland," 56,113 "
22,2005-09-01,Auckland," 56,888 "
23,2005-12-01,Auckland," 57,664 "
24,2006-03-01,Auckland," 58,439 "
25,2006-06-01,Auckland," 59,215 "
26,2006-09-01,Auckland," 59,990 "
27,2006-12-01,Auckland," 60,766 "
28,2007-03-01,Auckland," 61,542 "
29,2007-06-01,Auckland," 62,317 "
30,2007-09-01,Auckland," 63,093 "
31,2007-12-01,Auckland," 63,868 "
32,2008-03-01,Auckland," 64,644 "
33,2008-06-01,Auckland," 65,419 "
34,2008-09-01,Auckland," 66,195 "
35,2008-12-01,Auckland," 66,970 "
36,2009-03-01,Auckland," 67,746 "
37,2009-06-01,Auckland," 68,522 "
38,2009-09-01,Auckland," 69,297 "
39,2009-12-01,Auckland," 70,073 "
40,2010-03-01,Auckland," 70,848 "
41,2010-06-01,Auckland," 71,624 "
42,2010-09-01,Auckland," 72,399 "
43,2010-12-01,Auckland," 73,175 "
44,2011-03-01,Auckland," 73,950 "
45,2011-06-01,Auckland," 74,726 "
46,2011-09-01,Auckland," 75,502 "
47,2011-12-01,Auckland," 76,277 "
48,2012-03-01,Auckland," 77,053 "
49,2012-06-01,Auckland," 77,828 "
50,2012-09-01,Auckland," 78,604 "
51,2012-12-01,Auckland," 79,379 "
52,2013-03-01,Auckland," 80,155 "
53,2013-06-01,Auckland," 80,930 "
54,2013-09-01,Auckland," 81,706 "
55,2013-12-01,Auckland," 82,482 "
56,2014-03-01,Auckland," 83,257 "
57,2014-06-01,Auckland," 84,033 "
58,2014-09-01,Auckland," 84,808 "
