Month,Auckland,Bay of Plenty,Canterbury,Gisborne,Hawke's Bay,Manawatu-Wanganui,Marlborough,Northland,Otago,Southland,Waikato,Taranaki,Tasman,Nelson,Wellington,West Coast
1/03/2000," 39,826 "," 5,755 "," 12,286 ", 932 ," 3,840 "," 5,220 ", 993 ," 2,961 "," 4,661 "," 2,598 "," 9,384 "," 3,861 "," 2,062 "," 2,062 "," 16,457 ", 695 
1/06/2000," 40,601 "," 5,866 "," 12,598 ", 945 ," 3,888 "," 5,290 "," 1,018 "," 3,012 "," 4,755 "," 2,644 "," 9,567 "," 3,953 "," 2,099 "," 2,099 "," 16,727 ", 713 
1/09/2000," 41,377 "," 5,977 "," 12,910 ", 958 ," 3,935 "," 5,360 "," 1,042 "," 3,064 "," 4,849 "," 2,690 "," 9,750 "," 4,045 "," 2,135 "," 2,135 "," 16,996 ", 730 
1/12/2000," 42,153 "," 6,088 "," 13,222 ", 971 ," 3,983 "," 5,431 "," 1,067 "," 3,115 "," 4,943 "," 2,735 "," 9,933 "," 4,137 "," 2,172 "," 2,172 "," 17,265 ", 747 
1/03/2001," 42,928 "," 6,199 "," 13,534 ", 984 ," 4,030 "," 5,501 "," 1,092 "," 3,166 "," 5,037 "," 2,781 "," 10,116 "," 4,229 "," 2,209 "," 2,209 "," 17,534 ", 764 
1/06/2001," 43,704 "," 6,310 "," 13,846 ", 997 ," 4,078 "," 5,572 "," 1,116 "," 3,217 "," 5,131 "," 2,827 "," 10,299 "," 4,321 "," 2,246 "," 2,246 "," 17,804 ", 781 
1/09/2001," 44,479 "," 6,421 "," 14,158 "," 1,009 "," 4,125 "," 5,642 "," 1,141 "," 3,268 "," 5,225 "," 2,873 "," 10,482 "," 4,413 "," 2,282 "," 2,282 "," 18,073 ", 799 
1/12/2001," 45,255 "," 6,532 "," 14,470 "," 1,022 "," 4,172 "," 5,713 "," 1,166 "," 3,319 "," 5,319 "," 2,918 "," 10,665 "," 4,505 "," 2,319 "," 2,319 "," 18,342 ", 816 
1/03/2002," 46,030 "," 6,643 "," 14,783 "," 1,035 "," 4,220 "," 5,783 "," 1,190 "," 3,370 "," 5,413 "," 2,964 "," 10,848 "," 4,597 "," 2,356 "," 2,356 "," 18,612 ", 833 
1/06/2002," 46,806 "," 6,754 "," 15,095 "," 1,048 "," 4,267 "," 5,854 "," 1,215 "," 3,422 "," 5,507 "," 3,010 "," 11,031 "," 4,689 "," 2,393 "," 2,393 "," 18,881 ", 850 
1/09/2002," 47,581 "," 6,865 "," 15,407 "," 1,061 "," 4,315 "," 5,924 "," 1,240 "," 3,473 "," 5,601 "," 3,055 "," 11,214 "," 4,782 "," 2,429 "," 2,429 "," 19,150 ", 867 
1/12/2002," 48,357 "," 6,976 "," 15,719 "," 1,074 "," 4,362 "," 5,994 "," 1,264 "," 3,524 "," 5,695 "," 3,101 "," 11,397 "," 4,874 "," 2,466 "," 2,466 "," 19,419 ", 885 
1/03/2003," 49,133 "," 7,087 "," 16,031 "," 1,087 "," 4,410 "," 6,065 "," 1,289 "," 3,575 "," 5,789 "," 3,147 "," 11,580 "," 4,966 "," 2,503 "," 2,503 "," 19,689 ", 902 
1/06/2003," 49,908 "," 7,198 "," 16,343 "," 1,099 "," 4,457 "," 6,135 "," 1,314 "," 3,626 "," 5,883 "," 3,192 "," 11,763 "," 5,058 "," 2,540 "," 2,540 "," 19,958 ", 919 
1/09/2003," 50,684 "," 7,309 "," 16,655 "," 1,112 "," 4,505 "," 6,206 "," 1,338 "," 3,677 "," 5,976 "," 3,238 "," 11,946 "," 5,150 "," 2,576 "," 2,576 "," 20,227 ", 936 
1/12/2003," 51,459 "," 7,420 "," 16,967 "," 1,125 "," 4,552 "," 6,276 "," 1,363 "," 3,729 "," 6,070 "," 3,284 "," 12,129 "," 5,242 "," 2,613 "," 2,613 "," 20,497 ", 953 
1/03/2004," 52,235 "," 7,531 "," 17,279 "," 1,138 "," 4,599 "," 6,347 "," 1,388 "," 3,780 "," 6,164 "," 3,329 "," 12,312 "," 5,334 "," 2,650 "," 2,650 "," 20,766 ", 971 
1/06/2004," 53,010 "," 7,642 "," 17,591 "," 1,151 "," 4,647 "," 6,417 "," 1,412 "," 3,831 "," 6,258 "," 3,375 "," 12,495 "," 5,426 "," 2,687 "," 2,687 "," 21,035 ", 988 
